172.18.0.1 - - [19/Jun/2024:20:25:32 +0000] "GET / HTTP/1.1" 200 21 "-" "curl/7.81.0" "-"
140.213.1.83 - - [19/Jun/2024:20:25:53 +0000] "GET / HTTP/1.1" 200 21 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
140.213.1.83 - - [19/Jun/2024:20:25:53 +0000] "GET /favicon.ico HTTP/1.1" 200 21 "http://103.102.48.8:8081/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
95.214.27.7 - - [19/Jun/2024:20:55:45 +0000] "GET /config HTTP/1.1" 200 21 "-" "Go-http-client/1.1" "-"
10.0.12.1 - - [19/Jun/2024:20:57:18 +0000] "\x16\x03\x01\x01\x02\x01\x00\x00\xFE\x03\x03\xF6\xA2\xA0\xB3Et\x8E~\xD4p.\x9DTm\xE9H\x01H\x1F\x9F\x0B\x801\xBBM3r\xD8\xB2q\xA7< \xB4\x80\x85\x8C\xFA\xC9+\xBAN^\xAEb\xD3\x81\xB0\xA9x\xBB\x9A\xFB\xF1h\xC9\x91:\xC5\xAA\xFC\x89\xA0\x8B\xA5\x00.\x13\x01\x13\x02\x13\x03\x13\x04\x13\x05\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 157 "-" "-" "-"
45.84.89.2 - - [19/Jun/2024:20:57:23 +0000] "\x16\x03\x01\x00\x85\x01\x00\x00\x81\x03\x03UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU\x00\x00\x06\xC00\x00\x9C\x00\x9D\x01\x00\x00R\x00\x0B\x00\x04\x03\x00\x01\x02\x00" 400 157 "-" "-" "-"
95.214.27.7 - - [19/Jun/2024:21:07:02 +0000] "GET /config HTTP/1.1" 200 21 "-" "Go-http-client/1.1" "-"
95.214.27.7 - - [19/Jun/2024:21:34:05 +0000] "GET /config HTTP/1.1" 200 21 "-" "Go-http-client/1.1" "-"
140.213.1.83 - - [19/Jun/2024:21:35:08 +0000] "GET / HTTP/1.1" 200 21 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
140.213.1.83 - - [19/Jun/2024:21:35:08 +0000] "GET /favicon.ico HTTP/1.1" 200 21 "http://103.102.48.8:8081/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
140.213.1.83 - - [19/Jun/2024:21:44:17 +0000] "GET / HTTP/1.1" 200 21 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
140.213.1.83 - - [19/Jun/2024:21:44:17 +0000] "GET /favicon.ico HTTP/1.1" 200 21 "http://103.102.48.8:8082/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36" "-"
